Title,Ingredients,Directions,Picture,
"Yuba Pappardelle with English Peas, Fava Leaves, and Basil","['1/2 cup homemade or purchased vegetable stock', '1/4 teaspoon fine sea salt', '2 cups (12 ounces) fresh English peas', '2 cups Homemade Buttermilk or whole milk (see Test-Kitchen Tips, below)', '6 sheets fresh or frozen (thawed) yuba (about 6 ounces) cut in half lengthwise and then crosswise into 1-inch-wide strips (see Test-Kitchen Tips, below)', '1 cup (6 ounces) fresh English peas', '1/2 teaspoon fine sea salt', '1 cup fresh fava leaves, loosely packed (see Test-Kitchen Tips, below)', '1/2 cup fresh basil leaves, torn and loosely packed (about 24 leaves)', '1/4 teaspoon freshly ground black pepper']","In 10-inch sauté pan over moderately high heat, bring vegetable stock and salt to boil. Add peas and simmer, uncovered, until bright green and almost tender, 1 to 2 minutes.
Transfer peas and cooking liquid to blender and blend on high until very smooth, about 1 minute. Set aside. (Purée can be made ahead and refrigerated, tightly wrapped in plastic wrap, up to 12 hours. To maintain peas' vibrant green color, cool purée over ice bath before refrigerating.)
In medium saucepan over moderate heat, stir together buttermilk, yuba, peas, and 1/4 teaspoon salt. Bring to simmer, then reduce heat to low, cover, and cook until peas are just tender, about 2 minutes. Stir in pea purée and fava leaves, cover, and cook until fava leaves are wilted, about 30 seconds. Remove from heat and stir in basil, remaining 1/4 teaspoon salt, and pepper. Serve immediately.",yuba-pappardelle-with-english-peas-fava-leaves-and-basil-242046,"['1/2 cup homemade or purchased vegetable stock', '1/4 teaspoon fine sea salt', '2 cups (12 ounces) fresh English peas', '2 cups Homemade Buttermilk or whole milk (see Test-Kitchen Tips, below)', '6 sheets fresh or frozen (thawed) yuba (about 6 ounces) cut in half lengthwise and then crosswise into 1-inch-wide strips (see Test-Kitchen Tips, below)', '1 cup (6 ounces) fresh English peas', '1/2 teaspoon fine sea salt', '1 cup fresh fava leaves, loosely packed (see Test-Kitchen Tips, below)', '1/2 cup fresh basil leaves, torn and loosely packed (about 24 leaves)', '1/4 teaspoon freshly ground black pepper']"
Your New Favorite Pork Chops,"['1 tablespoon vegetable oil', '2- 1 1/2""-thick bone-in pork rib chops (8–10 ounces each)', 'Kosher salt, freshly ground pepper', 'freshly ground pepper', '8 sprigs sage', '2 garlic cloves, peeled, smashed', '1 tablespoon unsalted butter']","Heat oil in a large skillet over mediumhigh. Season pork chops all over (including the fat cap) with salt and pepper. Cook pork chops until bottom side is golden brown, about 1 minute. Turn and cook on other side about 1 minute before turning again. Repeat this process, turning about every minute, until chops are deep golden brown and an instant-read thermometer inserted into the thickest part registers 135°, 8–10 minutes (cooking time will depend on thickness of chops).
Remove pan from heat and add sage, garlic, and butter, smashing garlic into butter. Tilt skillet and spoon foaming butter and drippings over pork chops, making sure to baste the fat cap as well as the rib. Transfer pork chops to a cutting board and let rest at least 5 minutes (pork will come to 145° as it sits).
Cut away bone and slice pork about 1/4"" thick. Serve with any juices from the cutting board spooned over top.",your-new-favorite-pork-chops-51264230,"['1 tablespoon vegetable oil', '2- 1 1/2""-thick bone-in pork rib chops (8–10 ounces each)', 'Kosher salt, freshly ground pepper', 'freshly ground pepper', '8 sprigs sage', '2 garlic cloves, peeled, smashed', '1 tablespoon unsalted butter']"
Young Lettuces With Herbed Avocado,"['1 small shallot, finely chopped', '1 tablespoon Champagne vinegar or white wine vinegar', '1 tablespoon (or more) fresh lemon juice', 'Kosher salt', '2 large avocados, pitted', '1/2 preserved lemon, seeds removed, finely chopped', '3/4 cup plain whole-milk Greek yogurt', '2 tablespoons olive oil', '1/4 cup finely chopped tender herbs (such as cilantro, parsley, tarragon and/or mint)', '2 tablespoons fresh lemon juice', '2 teaspoons light agave syrup (nectar)', 'Kosher salt', '2 tablespoons grapeseed or vegetable oil', '1 tablespoon olive oil', '3 heads of baby romaine, red leaf, or Little Gem lettuces, leaves separated', '2 cups spicy greens (such as mizuna, watercress, buckwheat sprouts, or purslane)', '1 cup tender herbs (such as mint leaves, cilantro leaves, and/or fennel fronds)', ""1/2 cup edible flowers (such as nasturtiums, bachelor's buttons, and/or pansies)"", 'Flaky sea salt', '1/2 cup finely chopped unsalted, roasted pistachios']","Combine shallot, vinegar, and lemon juice in a small bowl. Season with salt and let sit 20 minutes to lightly pickle.
Using a spoon, scoop avocado flesh into a food processor; discard skins. Puree until smooth. Add preserved lemon, yogurt, oil, and shallot along with pickling liquid; season with salt and pulse to combine.
Transfer avocado mixture to a medium bowl and stir in herbs. Taste and adjust seasoning with salt and/or more lemon juice, if needed.
Herbed avocado can be made 1 day ahead. Cover, pressing plastic wrap directly onto surface, and chill.
Whisk lemon juice and agave in a medium bowl; season with salt. Whisk in grapeseed oil, then olive oil. Taste vinaigrette and adjust seasoning with more salt if needed.
Vinaigrette can be made 5 days ahead. Cover and chill.
Toss lettuces, spicy greens, herbs, and edible flowers in a large bowl to combine. Drizzle about half of lemon vinaigrette over and toss to coat. Season salad with salt.
Spoon 2 dollops of herbed avocado onto each plate and loosely mound salad over top. Scatter pistachios over and around salad and drizzle with remaining lemon vinaigrette.",young-lettuces-with-herbed-avocado-56389981,"['1 small shallot, finely chopped', '1 tablespoon Champagne vinegar or white wine vinegar', '1 tablespoon (or more) fresh lemon juice', 'Kosher salt', '2 large avocados, pitted', '1/2 preserved lemon, seeds removed, finely chopped', '3/4 cup plain whole-milk Greek yogurt', '2 tablespoons olive oil', '1/4 cup finely chopped tender herbs (such as cilantro, parsley, tarragon and/or mint)', '2 tablespoons fresh lemon juice', '2 teaspoons light agave syrup (nectar)', 'Kosher salt', '2 tablespoons grapeseed or vegetable oil', '1 tablespoon olive oil', '3 heads of baby romaine, red leaf, or Little Gem lettuces, leaves separated', '2 cups spicy greens (such as mizuna, watercress, buckwheat sprouts, or purslane)', '1 cup tender herbs (such as mint leaves, cilantro leaves, and/or fennel fronds)', '""1/2 cup edible flowers (such as nasturtiums, bachelors buttons, and/or pansies)"", Flaky sea salt', '1/2 cup finely chopped unsalted', 'roasted pistachios']"
Yorkshire Pudding with Bacon and Sage,"['6 ounces bacon slices (about 7 slices), cut into 1-inch pieces', '2 tablespoons (about) butter, melted', '1 1/2 cups all purpose flour', '3 tablespoons chopped fresh sage, divided', '1 teaspoon coarse kosher salt', '1 1/2 cups whole milk', '3 large eggs']","Place rack in center of oven and preheat to 450°F. Sauté bacon in large skillet over medium heat until crisp. Transfer to paper towels to drain. Transfer drippings to glass measuring cup. If needed, add enough melted butter to measure 1/4 cup total. Pour drippings into 13x9x2-inch glass baking dish. Place dish in hot oven to heat drippings 10 minutes.
Whisk flour, 2 tablespoons sage, and salt in medium bowl to blend. Whisk milk and eggs to blend in large bowl; add flour mixture and whisk until batter is smooth. Whisk in 2/3 of bacon. Remove hot baking dish from oven. Using oven mitts or pot holders to protect hands, tilt dish to distribute drippings evenly. Pour batter into pan. Bake 15 minutes; reduce oven temperature to 350°F and continue to bake until golden brown and puffed, about 12 minutes longer (do not open oven door while baking).
Remove pudding from oven. Crumble remaining bacon over pudding, sprinkle with remaining 1 tablespoon sage, and serve.",yorkshire-pudding-with-bacon-and-sage-236596,"['6 ounces bacon slices (about 7 slices), cut into 1-inch pieces', '2 tablespoons (about) butter, melted', '1 1/2 cups all purpose flour', '3 tablespoons chopped fresh sage, divided', '1 teaspoon coarse kosher salt', '1 1/2 cups whole milk', '3 large eggs']"
Yorkshire Puddings,"['3/4 cup all-purpose or light spelt flour', 'pinch sea salt', '2 large, free-range eggs', '1 1/4 cups milk', '8 teaspoons vegetable or light olive oil for the muffin tin']","Preheat the oven to 400°F.
Sift the flour into a medium-sized mixing bowl and add a pinch of salt. Crack the eggs in and whisk together with the flour, then gradually pour in the milk, stirring constantly. Beat all the ingredients together until the batter is the consistency of cream. Refrigerate the batter for 30 minutes.
Pour 1 teaspoon of oil into the bottom of each of the 8 wells in a non-stick muffin tin. Put the muffin tin in the oven to heat the oil until it's very hot—almost smoking hot (about 5 minutes).
Give the batter a quick stir and then pour it equally into each well in the tin (you should hear it sizzle and it should bubble). Return the tin to the oven and bake the puddings for 20-25 minutes, until they have risen and are deep golden brown. These are wonderful with Sage and Onion ""Roast"".",yorkshire-puddings-51159210,"['3/4 cup all-purpose or light spelt flour', 'pinch sea salt', '2 large, free-range eggs', '1 1/4 cups milk', '8 teaspoons vegetable or light olive oil for the muffin tin']"
Yorkshire Pudding,"['2 eggs', '1 cup milk', '1 cup sifted flour', '1/2 teaspoon salt', 'Beef drippings from roast beef (about 1/4 cup)']","Preheat oven to hot (450ºF).
Beat the eggs with the milk. Sift together the flour and salt and stir this into the egg mixture. Beat the batter until well blended.
Discard most of the fat from the pan in which the beef was roasted. Heat an 11x7-inch baking pan or ring mold and pour into it one-quarter cup of the beef drippings. Pour in the pudding mixture and bake ten minutes. Reduce the oven temperature to moderate (350ºF) and bake fifteen to twenty minutes longer, or until puffy and delicately browned. Cut into squares and serve immediately with roast beef.",yorkshire-pudding,"['2 eggs', '1 cup milk', '1 cup sifted flour', '1/2 teaspoon salt', 'Beef drippings from roast beef (about 1/4 cup)']"
"Yogurt with Raisins, Cucumber, and Walnuts","['1/2 cup walnuts', '1 Persian cucumber, finely chopped', '3 cups plain whole-milk Greek yogurt', '3 tablespoons chopped golden raisins', '1 tablespoon finely grated green garlic, or 1 garlic clove, finely grated', '1 teaspoon finely grated lemon zest', '1 teaspoon fresh lemon juice', '1 tablespoon crushed dried mint leaves, plus more for serving', '1 tablespoon olive oil, plus more for drizzling', '2 teaspoons crushed dried rose petals; plus more for serving (optional)', 'Kosher salt, freshly ground pepper', '2–3 tablespoons whole milk (optional)', 'Aleppo-style pepper (for serving)']","Preheat oven to 350°F. Toast walnuts on a rimmed baking sheet, tossing occasionally, until golden brown, 8–10 minutes. Let cool, then finely chop.
Mix walnuts, cucumber, yogurt, raisins, green garlic, lemon zest, lemon juice, 1 Tbsp. mint, 1 Tbsp. oil, and 2 tsp. rose petals, if using, in a medium bowl to combine; season with salt and pepper. If yogurt looks thick, stir in milk as needed.
Serve topped with Aleppo-style pepper and more dried mint and rose petals and drizzled with more oil.
Yogurt can be made 1 day ahead. Keep chilled.",yogurt-with-raisins-cucumber-and-walnuts,"['1/2 cup walnuts', '1 Persian cucumber, finely chopped', '3 cups plain whole-milk Greek yogurt', '3 tablespoons chopped golden raisins', '1 tablespoon finely grated green garlic, or 1 garlic clove, finely grated', '1 teaspoon finely grated lemon zest', '1 teaspoon fresh lemon juice', '1 tablespoon crushed dried mint leaves, plus more for serving', '1 tablespoon olive oil, plus more for drizzling', '2 teaspoons crushed dried rose petals; plus more for serving (optional)', 'Kosher salt, freshly ground pepper', '2–3 tablespoons whole milk (optional)', 'Aleppo-style pepper (for serving)']"
Yogurt with Pistachio Brittle,"['Vegetable oil cooking spray', '1 cup sugar', '1 cup shelled, unsalted pistachios (or a mixture of pistachios and cashews)', '1/2 teaspoons flaky sea salt, such as Maldon', '4 cups 2 percent Greek yogurt', '1/4 cup honey', '12 fresh, ripe apricots, pitted and sliced']","Lightly coat an 8"" square baking dish with cooking spray. In a small saucepan, cook sugar over low heat, stirring occasionally with a silicone spatula or wooden spoon, until sugar melts and turns lightly golden, about 12 minutes. Remove from heat and add nuts, stirring quickly to combine. Immediately pour brittle into baking dish; spread evenly into a 1/4- to 1/2-inch-thick layer and sprinkle with salt. Use a sharp knife to score the brittle into 8 wedges. Let cool completely. Remove brittle from pan and break into wedges. Chop wedges into small pieces. Divide yogurt, honey, apricots and brittle among 8 bowls.",yogurt-with-pistachio-brittle-51170850,"['Vegetable oil cooking spray', '1 cup sugar', '1 cup shelled, unsalted pistachios (or a mixture of pistachios and cashews)', '1/2 teaspoons flaky sea salt, such as Maldon', '4 cups 2 percent Greek yogurt', '1/4 cup honey', '12 fresh', 'ripe apricots', 'pitted and sliced']"
"Yogurt with Granola, Tropical Fruit, and Crystallized Ginger","['3 cups diced peeled tropical fruit (such as pineapple, mango, and kiwi)', '1/3 cup honey', '1/3 cup finely chopped crystallized ginger plus additional for garnish', '2 1/2 cups plain nonfat or reduced-fat (2%) Greek-style yogurt,* divided', '2 cups purchased granola (with nuts and dried fruits, if desired)']","Mix fruit, honey, and 1/3 cup crystallized ginger in medium bowl. Spoon 1/2 cup yogurt into each bowl. Top each with 1/2 cup granola, then 3/4 cup fruit mixture. Spoon remaining 1/2 cup yogurt in dollops over fruit. Garnish with more chopped crystallized ginger and serve.
*A thick yogurt; sold at some supermarkets and at specialty foods stores and Greek markets.",yogurt-with-granola-tropical-fruit-and-crystallized-ginger-242686,"['3 cups diced peeled tropical fruit (such as pineapple, mango, and kiwi)', '1/3 cup honey', '1/3 cup finely chopped crystallized ginger plus additional for garnish', '2 1/2 cups plain nonfat or reduced-fat (2%) Greek-style yogurt,* divided', '2 cups purchased granola (with nuts and dried fruits', 'if desired)']"
"Yogurt with Fresh Figs, Honey, and Pine Nuts","['3 tablespoons pine nuts', '1/4 cup honey', '1/2 teaspoon rose water or orange-flower water', '3 cups plain Greek yogurt', '16 fresh figs, halved']","Toast pine nuts in a dry small skillet over medium-low heat, tossing often, until golden brown, about 4 minutes. Immediately transfer to a plate.
Heat honey and rose water in a small saucepan over medium heat, stirring occasionally, until very runny, about 1 minute (do not let boil); let cool.
Serve yogurt and figs drizzled with warm honey mixture and topped with pine nuts.",yogurt-with-fresh-figs-honey-and-pine-nuts-51239840,"['3 tablespoons pine nuts', '1/4 cup honey', '1/2 teaspoon rose water or orange-flower water', '3 cups plain Greek yogurt', '16 fresh figs', 'halved']"
Yogurt-Peach Semifreddo,"['2 ripe peaches, unpeeled, pitted, sliced', '1 1/4 cups sugar, divided', '3 large egg whites', '1/8 teaspoon kosher salt', '1 cup plain Greek yogurt', '3 tablespoons fresh lemon juice', '1 cup (packed) fresh mint leaves, finely chopped', 'An 8 1/2x4 1/2"" loaf pan']","Line 8 1/2x4 1/2"" loaf pan with plastic wrap, leaving a generous overhang on all sides.
Cook peaches and 1/4 cup sugar in a large skillet over medium heat, stirring occasionally, until peaches are softened and sugar is dissolved, about 5 minutes. Transfer to a blender and purée until smooth. Let cool.
Meanwhile, whisk egg whites, salt, and remaining 1 cup sugar in a medium heatproof bowl (or the bowl of a stand mixer) set over a saucepan of simmering water (do not let bowl touch water). Cook, whisking constantly, until sugar is dissolved and mixture is warm to the touch, 2–4 minutes. Remove bowl from saucepan. Using an electric mixer on high speed, beat egg mixture until tripled in volume, glossy, and completely cool, about 10 minutes.
Whisk yogurt and lemon juice in a large bowl, then stir in mint. Gently fold in egg white mixture until combined.
Transfer half of the yogurt mixture to prepared pan; smooth surface. Swirl half of the peach mixture into yogurt layer with a spoon, then repeat with remaining yogurt and peach mixtures. Fold plastic wrap overhang over top to seal and freeze until firm, at least 8 hours.
Unwrap semifreddo and, using plastic overhang, gently lift from pan. Invert semifreddo onto a cutting board, remove plastic wrap, and let sit at least 10 minutes to soften. Slice into 6 even slices, about 1 1/2"" thick; transfer to plates and serve.
Semifreddo can be frozen for up to 3 days.",yogurt-peach-semifreddo-56389739,"['2 ripe peaches, unpeeled, pitted, sliced', '1 1/4 cups sugar, divided', '3 large egg whites', '1/8 teaspoon kosher salt', '1 cup plain Greek yogurt', '3 tablespoons fresh lemon juice', '1 cup (packed) fresh mint leaves, finely chopped', 'An 8 1/2x4 1/2"" loaf pan']"
Yogurt Panna Cotta with Fresh Plums,"['Canola oil', '2 tablespoons water', '2 tablespoons fresh lemon juice', '2 1/2 teaspoons unflavored gelatin', '2 1/4 cups plain whole-milk yogurt (preferably organic)', '1 3/4 cups heavy whipping cream, divided', '3/4 cup sugar', '6 small ripe plums, thinly sliced', '1/4 cup sugar', '1 tablespoon fresh lemon juice', '1 teaspoon finely grated lemon peel', ""Test-kitchen tip: If possible, invert the panna cotta on a flat platter or large plate. A serving piece with sloping sides won't allow the dessert to lie flat and will make it more difficult to slice the panna cotta into wedges.""]","Lightly coat inside of 9-inch cake pan with 1 1/2-inch-high sides with canola oil. Combine 2 tablespoons water and lemon juice in small bowl. Sprinkle gelatin over; stir to blend. Let stand until gelatin softens, about 15 minutes. Whisk yogurt and 3/4 cup cream in large bowl. Combine 1 cup cream and sugar in small saucepan; bring to simmer over medium heat, stirring until sugar dissolves. Remove from heat. Add gelatin mixture to hot cream mixture; whisk until gelatin dissolves. Add cream-gelatin mixture to yogurt mixture; whisk to blend. Pour mixture into cake pan. Chill uncovered until cold, then cover and keep refrigerated until panna cotta is set, at least 8 hours or overnight. DO AHEAD: Can be made 2 days ahead. Keep refrigerated.
Combine plums, sugar, lemon juice, and lemon peel in medium bowl; toss to coat. Let stand at room temperature until juices form, tossing occasionally, about 30 to 45 minutes. DO AHEAD: Can be made 8 hours ahead. Cover and refrigerate.
Using small knife, cut around panna cotta to loosen edges. Fill large bowl with 1 inch of hot water. Dip bottom of pan into hot water to help loosen. Place dessert platter upside-down atop pan; invert panna cotta onto platter. Carefully lift off pan and allow panna cotta to settle onto platter.
Cut panna cotta into wedges. Divide among plates. Serve with plum mixture.",yogurt-panna-cotta-with-fresh-plums-359810,"['Canola oil', '2 tablespoons water', '2 tablespoons fresh lemon juice', '2 1/2 teaspoons unflavored gelatin', '2 1/4 cups plain whole-milk yogurt (preferably organic)', '1 3/4 cups heavy whipping cream, divided', '3/4 cup sugar', '6 small ripe plums, thinly sliced', '1/4 cup sugar', '1 tablespoon fresh lemon juice', '1 teaspoon finely grated lemon peel', '""Test-kitchen tip: If possible', 'invert the panna cotta on a flat platter or large plate. A serving piece with sloping sides wont allow the dessert to lie flat and will make it more difficult to slice the panna cotta into wedges.""']"
Yogurt Mousse with Apricot Sauce,"['1 1/2 teaspoons unflavored gelatin (from 1 envelope)', '1 cup whole milk', '1/2 vanilla bean, halved lengthwise', '1/2 cup sugar', '1 (4- by 1-inch) strip fresh lemon zest', '1 (32-oz) container well-stirred whole-milk yogurt', '3/4 cup chilled heavy cream', '1/2 vanilla bean, halved lengthwise', '1/2 cup sugar', '1/4 cup water', '1 lb fresh apricots, quartered and pitted', '1 teaspoon fresh lemon juice, or to taste']","Drain yogurt in a paper-towel-lined sieve set into a bowl in refrigerator, discarding liquid occasionally, 8 hours, then transfer to a clean bowl. Sprinkle gelatin over 1/4 cup milk in a small bowl and let stand 1 minute to soften.
Scrape seeds from vanilla bean pod into remaining 3/4 cup milk in a 1-quart heavy saucepan, then add pod, sugar, and zest and bring to a simmer over moderate heat, stirring until sugar is dissolved. Stir in gelatin mixture until dissolved. Pour through a fine-mesh sieve set into a metal bowl, discarding solids, then set bowl in a larger bowl half-filled with ice and cold water and let stand, stirring frequently, until cool, about 10 minutes.
Add milk mixture gradually to yogurt, whisking. Beat cream with an electric mixer at high speed until it just holds soft peaks, then fold into yogurt mixture gently but thoroughly. Chill mousse, covered, folding twice in first 20 minutes, until set, about 2 hours.
Scrape seeds from vanilla bean pod into a 2-quart heavy saucepan, then add pod, sugar, water, apricots, and 1 teaspoon lemon juice and cook, uncovered, over moderate heat, stirring frequently and skimming off any foam, until fruit is tender, 8 to 12 minutes. Cool to room temperature, about 30 minutes. Add lemon juice to taste and discard pod. Serve sauce topped with mousse.",yogurt-mousse-with-apricot-sauce-234681,"['1 1/2 teaspoons unflavored gelatin (from 1 envelope)', '1 cup whole milk', '1/2 vanilla bean, halved lengthwise', '1/2 cup sugar', '1 (4- by 1-inch) strip fresh lemon zest', '1 (32-oz) container well-stirred whole-milk yogurt', '3/4 cup chilled heavy cream', '1/2 vanilla bean, halved lengthwise', '1/2 cup sugar', '1/4 cup water', '1 lb fresh apricots, quartered and pitted', '1 teaspoon fresh lemon juice', 'or to taste']"
Yogurt & Matcha Swirl With Mango,"['1 ripe mango, peeled, pitted, cut into small cubes', '4 teaspoons sugar, divided', '3 1/2 ounces high-quality white chocolate (such as Lindt or Perugina), chopped', '1 1/2 cups low-fat Greek-style yogurt', '1 teaspoon matcha powder']","Mix mango with 2 teaspoons sugar. Let macerate for 30 minutes. Place white chocolate in a metal bowl set over a saucepan of simmering water and stir until melted. Remove from heat and whisk until smooth. Let cool slightly. Gradually whisk in yogurt. Divide mixture between 2 small bowls.
Whisk remaining 2 teaspoons sugar and matcha powder in another small bowl. Add 1 tablespoon hot water; whisk to form a thick paste. Add paste to 1 bowl with white chocolate-yogurt mixture; whisk to blend well.
Divide mango among 4 Old Fashioned glasses. Make a well in green yogurt mixture and pour white yogurt mixture into center. Fold once or twice, just enough to create swirls. Spoon over mango, dividing equally.",yogurt-matcha-swirl-with-mango-367772,"['1 ripe mango, peeled, pitted, cut into small cubes', '4 teaspoons sugar, divided', '3 1/2 ounces high-quality white chocolate (such as Lindt or Perugina), chopped', '1 1/2 cups low-fat Greek-style yogurt', '1 teaspoon matcha powder']"
Yogurt Marinated Grilled Chicken,"['1/2 cup plain whole-milk yogurt', '1/4 cup vinegar-based hot sauce (such as Crystal)', '4 finely chopped garlic cloves', '1 tablespoon finely chopped fresh oregano', '2 tablespoons olive oil', '1 teaspoon freshly ground black pepper', '1/2 teaspoon garam masala', ""Dai Due's Master Brined Chicken , backbone removed"", 'Vegetable oil for grilling']","Combine 1/2 cup plain whole-milk yogurt, 1/4 cup vinegar-based hot sauce (such as Crystal), 4 finely chopped garlic cloves, 1 tablespoon finely chopped fresh oregano, 2 tablespoons olive oil, 1 teaspoon freshly ground black pepper, and 1/2 teaspoon garam masala in a large resealable plastic bag. Add 1 Dai Due's Master Brined Chicken, backbone removed, and turn to coat. Seal bag, pressing out air; chill chicken 8–24 hours.
Prepare grill for medium heat; lightly brush grate with vegetable oil. Remove chicken from marinade, wiping off any excess, and grill, skin side down, until skin is lightly charred and releases from grate without tearing, 10–15 minutes. Give bird a quarter turn and continue to grill until skin is nicely charred and crisp and thighs are starting to firm up (they should be springy when pressed), 15–20 minutes. Turn chicken over and grill until an instantread thermometer inserted into the thickest part of thigh registers 165°F, 10–15 minutes. Place chicken on a platter skin side up; let rest 10 minutes before carving.",yogurt-marinated-grilled-chicken-56389989,"['1/2 cup plain whole-milk yogurt', '1/4 cup vinegar-based hot sauce (such as Crystal)', '4 finely chopped garlic cloves', '1 tablespoon finely chopped fresh oregano', '2 tablespoons olive oil', '1 teaspoon freshly ground black pepper', '1/2 teaspoon garam masala', '""Dai Dues Master Brined Chicken', 'backbone removed""', 'Vegetable oil for grilling']"
Yogurt-Marinated Grilled Chicken,"['8 skinless, boneless chicken breasts (about 3 pounds)', '2 cups plain whole-milk yogurt', '1 cup coarsely chopped fresh cilantro leaves and stems', '1/2 large onion, coarsely chopped', '1/3 cup olive oil plus more for brushing', '6 garlic cloves, coarsely chopped', '1 tablespoon fresh lime juice', '1 tablespoon garam masala', '2 teaspoons kosher salt plus more for seasoning', '1 teaspoons freshly ground black pepper', '1 2"" piece fresh ginger, peeled and chopped', '**Ingredient info:**Garam masala, an Indian spice blend, is sold in the spice section of better supermarkets and at Indian markets']","Working with one chicken breast at a time, put chicken between 2 sheets of waxed paper and pound to 1/2"" thickness. Transfer chicken breasts to a resealable plastic bag.
Combine the remaining ingredients in a food processor and blend until smooth. Pour yogurt mixture over chicken, seal bag, and turn to coat. Marinate chicken in the refrigerator for at least 3 hours or overnight.
Build a medium fire in a charcoal grill, or heat a gas grill to medium-high. Brush grill grates with oil. Scrape excess marinade off chicken; season with salt. Grill chicken, turning once, until browned and cooked through, 3-4 minutes per side.",yogurt-marinated-grilled-chicken-366453,"['8 skinless, boneless chicken breasts (about 3 pounds)', '2 cups plain whole-milk yogurt', '1 cup coarsely chopped fresh cilantro leaves and stems', '1/2 large onion, coarsely chopped', '1/3 cup olive oil plus more for brushing', '6 garlic cloves, coarsely chopped', '1 tablespoon fresh lime juice', '1 tablespoon garam masala', '2 teaspoons kosher salt plus more for seasoning', '1 teaspoons freshly ground black pepper', '1 2"" piece fresh ginger, peeled and chopped', '**Ingredient info:**Garam masala', 'an Indian spice blend', 'is sold in the spice section of better supermarkets and at Indian markets']"
Yogurt Marinated Chicken Skewers with Toum Garlic Sauce,"['1 cup (245 g) plain, unsweetened whole milk yogurt', '1 medium-size sweet onion, grated', '3 garlic cloves, minced', 'Juice of 1/2 lemon', '2 tablespoons crushed dried mint', '3 tablespoons extra-virgin olive oil', '4 skinless, boneless free-range chicken breast halves', '1 teaspoon kosher salt, plus more as needed', 'Few grinds of black pepper', '1 recipe Toum']","In a small bowl, combine the yogurt, onion, garlic, lemon, mint, and olive oil. Cut the chicken into 1- to 2-inch (2.5 to 5 cm) pieces and place them in a medium bowl or a plastic ziplock bag. Pour the marinade over the chicken, cover the bowl or seal the bag, and refrigerate for at least 8 and up to 24 hours (the longer, the more flavorful).
Preheat a grill or broiler on medium-high. Place the chicken in a colander and drain off the marinade. Pat the chicken dry with paper towels. Thread 6 skewers with the chicken, leaving some breathing room (about 1/8 inch / 3 mm) between the pieces. Generously season the chicken all over with salt and pepper.
Grill the chicken over medium-high heat, or broil them on a broiler or sheet pan, until the chicken is cooked through and is slightly charred around the edges, about 10 minutes on the grill and about 20 minutes under the broiler. Turn the skewers over halfway through cooking.
Remove the cooked chicken from the skewers with a fork. Serve the chicken hot with the toum, either on the side for dipping or drizzled over the chicken after it has been removed from the skewers.",yogurt-marinated-chicken-skewers-with-toum-garlic-sauce,"['1 cup (245 g) plain, unsweetened whole milk yogurt', '1 medium-size sweet onion, grated', '3 garlic cloves, minced', 'Juice of 1/2 lemon', '2 tablespoons crushed dried mint', '3 tablespoons extra-virgin olive oil', '4 skinless, boneless free-range chicken breast halves', '1 teaspoon kosher salt, plus more as needed', 'Few grinds of black pepper', '1 recipe Toum']"
